"movieId","userId","rating"
"Alien","Patrick C", 1.0
"Alien","Heather", 0.0
"Alien","Bryan", 2.0
"Alien","Patrick T", 0.0
"Alien","Thomas", 5.0
"Alien","aaron", 4.0
"Alien","vanessa", 0.0
"Alien","greg", 0.0
"Alien","brian", 4.0
"Alien","ben", 0.0
"Alien","Katherine", 0.0
"Alien","Jonathan", 0.0
"Alien","Zwe", 0.0
"Alien","Erin", 0.0
"Alien","Chris", 2.0
"Alien","Zak", 0.0
"Alien","Matt", 0.0
"Alien","Chris.1", 4.0
"Alien","Josh", 3.0
"Alien","Amy", 0.0
"Alien","Valerie", 0.0
"Alien","Gary", 2.0
"Alien","Stephen", 5.0
"Alien","Jessica", 0.0
"Alien","Jeff", 4.0
"Avatar", "Patrick C", 4.0
"Avatar","Heather", 5.0
"Avatar","Bryan", 5.0
"Avatar","Patrick T", 4.0
"Avatar","Thomas", 2.0
"Avatar","aaron", 0.0
"Avatar","vanessa", 4.0
"Avatar","greg", 3.0
"Avatar","brian", 0.0
"Avatar","ben", 3.0
"Avatar","Katherine", 5.0
"Avatar","Jonathan", 4.0
"Avatar","Zwe", 4.0
"Avatar","Erin", 4.0
"Avatar","Chris", 1.0
"Avatar","Zak", 5.0
"Avatar","Matt", 0.0
"Avatar","Chris.1", 0.0
"Avatar","Josh", 4.0
"Avatar","Amy", 3.0
"Avatar","Valerie", 2.0
"Avatar","Gary", 1.0
"Avatar","Stephen", 4.0
"Avatar","Jessica", 0.0
"Avatar","Jeff", 4.0
"Blade Runner", "Patrick C", 5.0
"Blade Runner","Heather", 0.0
"Blade Runner","Bryan", 0.0
"Blade Runner","Patrick T", 0.0
"Blade Runner","Thomas", 5.0
"Blade Runner","aaron", 4.0
"Blade Runner","vanessa", 0.0
"Blade Runner","greg", 1.0
"Blade Runner","brian", 5.0
"Blade Runner","ben", 5.0
"Blade Runner","Katherine", 0.0
"Blade Runner","Jonathan", 0.0
"Blade Runner","Zwe", 0.0
"Blade Runner","Erin", 0.0
"Blade Runner","Chris", 5.0
"Blade Runner","Zak", 0.0
"Blade Runner","Matt", 0.0
"Blade Runner","Chris.1", 3.0
"Blade Runner","Josh", 0.0
"Blade Runner","Amy", 3.0
"Blade Runner","Valerie", 3.0
"Blade Runner","Gary", 1.0
"Blade Runner","Stephen", 0.0
"Blade Runner","Jessica", 0.0
"Blade Runner","Jeff", 5.0
"Braveheart", "Patrick C", 4.0
"Braveheart","Heather", 0.0
"Braveheart","Bryan", 5.0
"Braveheart","Patrick T", 0.0
"Braveheart","Thomas", 4.0
"Braveheart","aaron", 4.0
"Braveheart","vanessa", 3.0
"Braveheart","greg", 4.0
"Braveheart","brian", 4.0
"Braveheart","ben", 0.0
"Braveheart","Katherine", 3.0
"Braveheart","Jonathan", 4.0
"Braveheart","Zwe", 3.0
"Braveheart","Erin", 4.0
"Braveheart","Chris", 2.0
"Braveheart","Zak", 5.0
"Braveheart","Matt", 0.0
"Braveheart","Chris.1", 4.0
"Braveheart","Josh", 0.0
"Braveheart","Amy", 3.0
"Braveheart","Valerie", 4.0
"Braveheart","Gary", 5.0
"Braveheart","Stephen", 5.0
"Braveheart","Jessica", 0.0
"Braveheart","Jeff", 4.0
"Dodgeball","Patrick C", 5.0
"Dodgeball","Heather", 4.0
"Dodgeball","Bryan", 3.0
"Dodgeball","Patrick T", 2.0
"Dodgeball","Thomas", 4.0
"Dodgeball","aaron", 0.0
"Dodgeball","vanessa", 4.0
"Dodgeball","greg", 5.0 
"Dodgeball","brian", 3.0
"Dodgeball","ben", 4.0
"Dodgeball","Katherine", 5.0
"Dodgeball","Jonathan", 5.0
"Dodgeball","Zwe", 3.0
"Dodgeball","Erin", 3.0
"Dodgeball","Chris", 3.0
"Dodgeball","Zak", 3.0
"Dodgeball","Matt", 0.0
"Dodgeball","Chris.1", 3.0
"Dodgeball","Josh", 0.0
"Dodgeball","Amy", 4.0
"Dodgeball","Valerie", 3.0
"Dodgeball","Gary", 4.0
"Dodgeball","Stephen", 3.0
"Dodgeball","Jessica", 0.0
"Dodgeball","Jeff", 3.0
"Forest Gump","Patrick C", 4.0
"Forest Gump","Heather", 5.0
"Forest Gump","Bryan", 4.0
"Forest Gump","Patrick T", 3.0
"Forest Gump","Thomas", 3.0
"Forest Gump","aaron", 0.0
"Forest Gump","vanessa", 4.0
"Forest Gump","greg", 5.0 
"Forest Gump","brian", 5.0
"Forest Gump","ben", 5.0
"Forest Gump","Katherine", 5.0
"Forest Gump","Jonathan", 5.0
"Forest Gump","Zwe", 5.0
"Forest Gump","Erin", 5.0
"Forest Gump","Chris", 3.0
"Forest Gump","Zak", 5.0
"Forest Gump","Matt", 4.0
"Forest Gump","Chris.1", 5.0
"Forest Gump","Josh", 4.0
"Forest Gump","Amy", 4.0
"Forest Gump","Valerie", 5.0
"Forest Gump","Gary", 4.0
"Forest Gump","Stephen", 1.0
"Forest Gump","Jessica", 4.0
"Forest Gump","Jeff", 4.0}
"Gladiator", "Patrick C", 0.0
"Gladiator","Heather", 5.0
"Gladiator","Bryan", 5.0
"Gladiator","Patrick T", 0.0
"Gladiator","Thomas", 4.0
"Gladiator","aaron", 4.0
"Gladiator","vanessa", 4.0
"Gladiator","greg", 5.0 
"Gladiator","brian", 5.0
"Gladiator","ben", 5.0
"Gladiator","Katherine", 3.0
"Gladiator","Jonathan", 4.0
"Gladiator","Zwe", 3.0
"Gladiator","Erin", 0.0
"Gladiator","Chris", 3.0
"Gladiator","Zak", 5.0
"Gladiator","Matt", 0.0
"Gladiator","Chris.1", 3.0
"Gladiator","Josh", 4.0
"Gladiator","Amy", 0.0
"Gladiator","Valerie", 3.0
"Gladiator","Gary", 3.0
"Gladiator","Stephen", 4.0
"Gladiator","Jessica", 0.0
"Gladiator","Jeff", 4.0
"Jaws","Patrick C", 0.0
"Jaws","Heather", 5.0
"Jaws","Bryan", 4.0
"Jaws","Patrick T", 0.0
"Jaws","Thomas", 4.0
"Jaws","aaron", 0.0
"Jaws","vanessa", 2.0
"Jaws","greg", 3.0 
"Jaws","brian", 3.0
"Jaws","ben", 1.0
"Jaws","Katherine", 0.0
"Jaws","Jonathan", 3.0
"Jaws","Zwe", 2.0
"Jaws","Erin", 3.0
"Jaws","Chris", 2.0
"Jaws","Zak", 0.0
"Jaws","Matt", 0.0
"Jaws","Chris.1", 5.0
"Jaws","Josh", 5.0
"Jaws","Amy", 3.0
"Jaws","Valerie", 2.0
"Jaws","Gary", 4.0
"Jaws","Stephen", 2.0
"Jaws","Jessica", 3.0
"Jaws","Jeff", 5.0
"Kazaam","Patrick C", 2.0
"Kazaam","Heather", 0.0
"Kazaam","Bryan", 3.0
"Kazaam","Patrick T", 5.0
"Kazaam","Thomas", 2.0
"Kazaam","aaron", 0.0
"Kazaam","vanessa", 0.0
"Kazaam","greg", 0.0 
"Kazaam","brian", 1.0
"Kazaam","ben", 0.0
"Kazaam","Katherine", 2.0
"Kazaam","Jonathan", 2.0
"Kazaam","Zwe", 2.0
"Kazaam","Erin", 1.0
"Kazaam","Chris", 1.0
"Kazaam","Zak", 1.0
"Kazaam","Matt", 0.0
"Kazaam","Chris.1", 0.0
"Kazaam","Josh", 0.0
"Kazaam","Amy", 1.0
"Kazaam","Valerie", 1.0
"Kazaam","Gary", 1.0
"Kazaam","Stephen", 0.0
"Kazaam","Jessica", 1.0
"Kazaam","Jeff", 1.0
"Lord of the Rings","Patrick C", 4.0
"Lord of the Rings","Heather", 4.0
"Lord of the Rings","Bryan", 3.0
"Lord of the Rings","Patrick T", 2.0
"Lord of the Rings","Thomas", 0.0
"Lord of the Rings","aaron", 5.0
"Lord of the Rings","vanessa", 2.0
"Lord of the Rings","greg", 3.0 
"Lord of the Rings","brian", 5.0
"Lord of the Rings","ben", 2.0
"Lord of the Rings","Katherine", 4.0
"Lord of the Rings","Jonathan", 4.0
"Lord of the Rings","Zwe", 3.0
"Lord of the Rings","Erin", 4.0
"Lord of the Rings","Chris", 3.0
"Lord of the Rings","Zak", 4.0
"Lord of the Rings","Matt", 1.0
"Lord of the Rings","Chris.1", 4.0
"Lord of the Rings","Josh", 0.0
"Lord of the Rings","Amy", 0.0
"Lord of the Rings","Valerie", 5.0
"Lord of the Rings","Gary", 3.0
"Lord of the Rings","Stephen", 5.0
"Lord of the Rings","Jessica", 3.0
"Lord of the Rings","Jeff", 3.0
"Napolean Dynamite","Patrick C", 3.0
"Napolean Dynamite","Heather", 4.0
"Napolean Dynamite","Bryan", 1.0
"Napolean Dynamite","Patrick T", 1.0
"Napolean Dynamite","Thomas", 5.0
"Napolean Dynamite","aaron", 1.0
"Napolean Dynamite","vanessa", 4.0
"Napolean Dynamite","greg", 4.0 
"Napolean Dynamite","brian", 4.0
"Napolean Dynamite","ben", 4.0
"Napolean Dynamite","Katherine", 2.0
"Napolean Dynamite","Jonathan", 3.0
"Napolean Dynamite","Zwe", 3.0
"Napolean Dynamite","Erin", 2.0
"Napolean Dynamite","Chris", 1.0
"Napolean Dynamite","Zak", 1.0
"Napolean Dynamite","Matt", 3.0
"Napolean Dynamite","Chris.1", 1.0
"Napolean Dynamite","Josh", 0.0
"Napolean Dynamite","Amy", 2.0
"Napolean Dynamite","Valerie", 5.0
"Napolean Dynamite","Gary", 4.0
"Napolean Dynamite","Stephen", 2.0
"Napolean Dynamite","Jessica", 2.0
"Napolean Dynamite","Jeff", 3.0
"Old School","Patrick C", 3.0
"Old School","Heather", 0.0
"Old School","Bryan", 4.0
"Old School","Patrick T", 5.0
"Old School","Thomas", 5.0
"Old School","aaron", 0.0
"Old School","vanessa", 3.0
"Old School","greg", 5.0 
"Old School","brian", 4.0
"Old School","ben", 4.0
"Old School","Katherine", 0.0
"Old School","Jonathan", 5.0
